bt,km,transmission,owner,modelYear,price,place,Insurance Validity,Fuel Type,Seats,Engine Displacement,oem_encoded,num_features,num_Comfort,num_Interior,num_Exterior,frequency_encoded_model,variantName_encoded
0.0,57634,0,2,2016,457000,2,1.0,0.0,5,1199,29,9,14,12,13,0.011470904528617517,0.0032261918986736765
2.0,50000,1,2,2016,4900000,2,0.0,0.0,5,4663,21,9,25,12,14,0.0016728402437567213,0.0002389771776795316
2.0,110000,0,1,2015,550000,2,0.0,0.0,5,1497,8,9,17,10,8,0.04421077787071335,0.006093918030828056
0.0,23447,1,1,2018,570000,2,1.0,0.0,5,1086,9,9,13,8,9,0.006093918030828056,0.001194885888397658
0.0,30000,0,2,2009,220000,2,0.0,,5,1086,9,9,8,6,6,0.0071693153303859485,0.0002389771776795316
2.0,33000,1,1,2017,4145000,2,1.0,0.0,5,1991,21,9,31,15,13,0.005496475086629227,0.0001194885888397658
1.0,87667,0,2,2014,861000,2,2.0,1.0,7,2179,17,9,17,10,11,0.015414027960329788,0.00227028318795555
2.0,40000,1,2,2016,1785000,2,0.0,1.0,5,1968,0,9,20,13,12,0.0033456804875134426,0.0009559087107181264
1.0,79012,0,2,2014,802999,2,1.0,1.0,7,2179,17,9,17,11,12,0.015414027960329788,0.0014338630660771896
1.0,31344,0,1,2021,2565000,2,1.0,1.0,5,1956,12,9,25,13,23,0.012307324650495877,0.0004779543553590632
2.0,50000,0,1,2018,674000,2,0.0,0.0,5,1197,9,9,21,10,12,0.006332895208507588,0.000597442944198829
0.0,12434,0,1,2015,349000,2,1.0,0.0,5,998,20,9,11,10,11,0.02987214720994145,0.00824471262994384
3.0,60000,0,2,2019,1050000,2,0.0,0.0,7,1462,20,9,19,12,13,0.009798064284860795,0.0003584657665192974
2.0,12000,1,1,2019,4425000,2,1.0,1.0,5,1950,21,9,32,16,14,0.006930338152706416,0.0008364201218783606
0.0,40987,0,2,2015,405999,2,1.0,0.0,5,998,20,9,11,10,11,0.02987214720994145,0.00824471262994384
2.0,18157,1,1,2020,4965000,2,3.0,0.0,5,1998,1,9,30,15,20,0.004421077787071335,0.0001194885888397658
1.0,120000,0,3,2011,1100000,2,0.0,1.0,7,2982,30,9,17,13,16,0.0071693153303859485,0.0010753972995578922
1.0,40000,1,2,2020,1100000,2,0.0,1.0,5,1461,27,9,16,10,12,0.008364201218783606,0.0001194885888397658
0.0,89667,0,1,2016,594000,2,1.0,0.0,5,1197,9,9,14,10,10,0.03955072290596248,0.007886246863424543
0.0,120000,0,1,2017,710000,2,0.0,1.0,5,1396,9,9,18,11,12,0.03955072290596248,0.000597442944198829
0.0,56997,0,1,2017,692000,2,3.0,0.0,5,1197,20,9,13,12,13,0.03524913370773091,0.0059744294419882904
2.0,120000,0,1,2013,650000,2,0.0,0.0,5,1797,9,9,17,11,9,0.0032261918986736765,0.0010753972995578922
2.0,59000,1,1,2015,2089999,2,0.0,1.0,5,1968,0,9,30,13,12,0.00370414625403274,0.000597442944198829
0.0,18835,0,1,2021,411000,2,3.0,0.0,5,796,20,9,6,6,5,0.019476639980881824,0.0013143744772374237
1.0,120000,0,2,2010,650000,2,0.0,1.0,7,2179,17,8,10,8,10,0.004660054964750866,0.0001194885888397658
0.0,40000,1,1,2016,3675000,2,1.0,0.0,4,1998,22,9,23,14,18,0.0001194885888397658,0.0001194885888397658
0.0,60932,0,1,2019,610000,2,1.0,0.0,5,1199,29,9,16,13,13,0.011470904528617517,0.001194885888397658
1.0,33539,1,2,2020,1675000,2,1.0,0.0,5,1353,13,9,24,14,20,0.01135141593977775,0.0017923288325964871
0.0,66837,0,2,2018,530000,2,1.0,0.0,5,1199,29,9,14,11,13,0.011470904528617517,0.0002389771776795316
2.0,400,1,1,2022,7990000,2,2.0,1.0,5,2925,21,9,23,11,9,0.005496475086629227,0.0001194885888397658
0.0,60000,0,2,2008,250000,2,0.0,0.0,5,796,20,9,5,4,2,0.006452383797347353,0.0038236348428725055
0.0,44285,0,1,2019,715000,2,0.0,0.0,5,1197,9,9,16,9,8,0.03955072290596248,0.0008364201218783606
1.0,100000,1,2,2014,3500000,2,0.0,1.0,7,2987,21,9,24,14,19,0.0007169315330385948,0.0007169315330385948
1.0,25000,1,1,2021,2250000,2,1.0,1.0,6,1956,29,9,19,15,17,0.0027482375433146135,0.0007169315330385948
0.0,36735,0,1,2018,625000,2,1.0,0.0,5,1197,9,9,19,11,14,0.03106703309833911,0.002389771776795316
1.0,79000,1,1,2015,2695000,2,1.0,1.0,7,2967,0,9,22,13,17,0.00227028318795555,0.0015533516549169554
1.0,120000,0,2,2010,650000,2,0.0,1.0,8,2179,17,8,10,8,10,0.004660054964750866,0.0001194885888397658
